SaaSOdoo,Hustler,1,2GB,10GB,$8.00,$4.00,$8.00,Email + KB,Ecocash ZIMRA Local,BEST VALUE
SaaSOdoo,SME,2,4GB,20GB,$18.00,$4.50,$9.00,Email + WhatsApp,Ecocash ZIMRA Local,COMPETITIVE
SaaSOdoo,Business,4,8GB,50GB,$35.00,$4.38,$8.75,Priority + WhatsApp,Ecocash ZIMRA Local,PREMIUM VALUE
CloudClusters,Express,2,2GB,60GB,$6.99,$3.50,$3.50,Email,None,Cheaper but basic
CloudClusters,Basic,3,4GB,100GB,$12.99,$3.25,$4.33,Email,None,Close competitor
CloudClusters,Professional,4,8GB,160GB,$23.99,$3.00,$6.00,24/7,None,Comparable
CloudPepper,Small,1,2GB,50GB,$70.00,$35.00,$70.00,Email,None,Too expensive
Odoo.sh,Minimum,N/A,N/A,1GB,$72.25,N/A,N/A,Email,None,Enterprise-focused
DIY Contabo,VPS 30,8,24GB,200GB,$15.00,$0.63,$1.88,None,DIY,Requires expertise

Value Proposition: Professional managed service with Zimbabwe localization at CloudClusters prices

### SHEET 14: KEY PERFORMANCE INDICATORS (KPIs) TARGETS ###

KPI,Month 3,Month 6,Month 12,Month 24,Month 36,Notes
Total Customers,10,30,150,500,1000,Growth target
MRR,$100,$450,$1936,$7275,$14550,Revenue target
MRR Growth % (MoM),50%,40%,20%,15%,10%,Slows as you scale
Logo Churn % (Monthly),7%,5%,4%,3%,2.5%,Improve retention over time
Net Revenue Retention,95%,98%,102%,105%,110%,Expansion revenue kicks in
CAC,$80,$70,$60,$50,$45,Efficiency improves
LTV,$180,$220,$280,$380,$480,Better retention + upsells
LTV:CAC Ratio,2.3:1,3.1:1,4.7:1,7.6:1,10.7:1,Healthy economics
Customer Support Tickets/Day,5,15,60,200,400,Scale support team accordingly
Uptime %,99.0%,99.5%,99.7%,99.9%,99.95%,Infrastructure maturity
NPS Score,40,45,50,55,60,Customer satisfaction

### END OF FINANCIAL MODEL ###

INSTRUCTIONS FOR USE:
1. Copy this entire file into Excel or Google Sheets
2. Use "Text to Columns" with comma delimiter to separate into proper columns
3. Each "### SHEET X ###" section can be a separate worksheet tab
4. Add formulas to link sheets together (e.g., revenue sheet feeds P&L)
5. Create charts: MRR growth, customer acquisition, cash flow waterfall
6. Customize assumptions (churn rate, CAC, pricing) based on your market research
7. Run scenarios: What if churn is 6%? What if you price Hustler at $10?

NEXT STEPS:
1. Validate pricing with 20+ customer interviews
2. Test CAC assumptions with $500 ad spend pilot
3. Build financial dashboard in Google Sheets with live data connection
4. Set up monthly financial review cadence (compare actuals vs. projections)
